time,sleeping,sleeping_nodes,switching_on,switching_on_nodes,switching_off,switching_off_nodes,idle,idle_nodes,computing,computing_nodes,unavailable
0,0,[],0,[],0,[],8,"[0, 1, 2, 3, 4, 5, 6, 7]",0,"[{'job_id': 1, 'nodes': [0, 1, 2], 'starting_time': 1, 'finish_time': 152}, {'job_id': 2, 'nodes': [3, 4, 5, 6], 'starting_time': 1, 'finish_time': 154}]",0
1,0,[],0,[],0,[],1,[7],7,"[{'job_id': 1, 'nodes': [0, 1, 2], 'starting_time': 1, 'finish_time': 152}, {'job_id': 2, 'nodes': [3, 4, 5, 6], 'starting_time': 1, 'finish_time': 154}]",0
30,0,[],0,[],1,[7],0,[],7,"[{'job_id': 1, 'nodes': [0, 1, 2], 'starting_time': 1, 'finish_time': 152}, {'job_id': 2, 'nodes': [3, 4, 5, 6], 'starting_time': 1, 'finish_time': 154}]",0
35,1,[7],0,[],0,[],0,[],7,"[{'job_id': 1, 'nodes': [0, 1, 2], 'starting_time': 1, 'finish_time': 152}, {'job_id': 2, 'nodes': [3, 4, 5, 6], 'starting_time': 1, 'finish_time': 154}]",0
152,0,[],1,[7],0,[],3,"[0, 1, 2]",4,"[{'job_id': 2, 'nodes': [3, 4, 5, 6], 'starting_time': 1, 'finish_time': 154}]",0
154,0,[],1,[7],0,[],3,"[0, 1, 2]",4,"[{'job_id': 4, 'nodes': [3, 4, 5, 6], 'starting_time': 154, 'finish_time': 303}, {'job_id': 3, 'nodes': [0, 1, 2, 7], 'starting_time': 157, 'finish_time': 303}]",0
157,0,[],0,[],0,[],0,[],8,"[{'job_id': 4, 'nodes': [3, 4, 5, 6], 'starting_time': 154, 'finish_time': 303}, {'job_id': 3, 'nodes': [0, 1, 2, 7], 'starting_time': 157, 'finish_time': 303}]",0
303,0,[],0,[],0,[],1,[7],7,"[{'job_id': 5, 'nodes': [0, 1, 2, 3], 'starting_time': 303, 'finish_time': 453}, {'job_id': 6, 'nodes': [4, 5], 'starting_time': 303, 'finish_time': 450}, {'job_id': 18, 'nodes': [6], 'starting_time': 303, 'finish_time': 453}]",0
333,0,[],0,[],1,[7],0,[],7,"[{'job_id': 5, 'nodes': [0, 1, 2, 3], 'starting_time': 303, 'finish_time': 453}, {'job_id': 6, 'nodes': [4, 5], 'starting_time': 303, 'finish_time': 450}, {'job_id': 18, 'nodes': [6], 'starting_time': 303, 'finish_time': 453}]",0
338,1,[7],0,[],0,[],0,[],7,"[{'job_id': 5, 'nodes': [0, 1, 2, 3], 'starting_time': 303, 'finish_time': 453}, {'job_id': 6, 'nodes': [4, 5], 'starting_time': 303, 'finish_time': 450}, {'job_id': 18, 'nodes': [6], 'starting_time': 303, 'finish_time': 453}]",0
450,0,[],1,[7],0,[],2,"[4, 5]",5,"[{'job_id': 5, 'nodes': [0, 1, 2, 3], 'starting_time': 303, 'finish_time': 453}, {'job_id': 18, 'nodes': [6], 'starting_time': 303, 'finish_time': 453}]",0
453,0,[],1,[7],0,[],2,"[4, 5]",5,"[{'job_id': 8, 'nodes': [0, 1, 2], 'starting_time': 453, 'finish_time': 604}, {'job_id': 11, 'nodes': [3, 6], 'starting_time': 453, 'finish_time': 603}, {'job_id': 7, 'nodes': [4, 5, 7], 'starting_time': 455, 'finish_time': 604}]",0
